description,featureType,locationPrecision,locationType,TypesOfFeature,country,noOfFeaturesBuiltByHuman,natureFeatures,continent,eras,deltaAge,reprLat,reprLong,minDate,maxDate
The post-Roman settlement at Alba Fucens. Location based on OpenStreetMap.,"settlement,",precise,"representative,",Landform,Spain,1523,535,Europe,Early Middle Ages ,813,42.082885,13.4119837,640,1453
"A major urban sanctuary at Vulci with a long period of use, stretching from the archaic period into the Roman period. Location based on OpenStreetMap.","temple-2,",precise,"representative,",Landform,Unlocated,,,Europe,The Iron Age,1050,42.4193742,11.6285463,-750,300
1M scale point location,unknown,precise,representative,Landform,Spain,1523,535,Europe,Classical Era,970,39.460299,-3.606772,-330,640
,unknown,rough,representative,Water Source,Unlocated,,,Europe,Classical Era,630,38.5,-1.5,-330,300
1M scale point location,unknown,precise,representative,Water Source,Unlocated,,,Europe,Classical Era,630,37.241792,-2.403309,-330,300
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Water Source,Spain,1523,535,Europe,Classical Era,1190,38.842795,0.107511,-550,640
1M scale point location,unknown,precise,representative,Small comunities,Unlocated,,,Europe,Classical Era,330,37.463838,-3.924959,-30,300
1M scale point location,unknown,precise,representative,Landform,France,1523,535,Europe,The Iron Age,1390,38.908393,1.432146,-750,640
1M scale point location,unknown,precise,representative,Landform,Unlocated,,,Europe,Classical Era,330,38.640276,-3.362253,-30,300
1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,precise,representative,Landform,Germany,1523,535,Europe,Classical Era,850,39.624587,-0.594758,-550,300
,unknown,rough,representative,Water Source,Algeria,166,72,Europe,Classical Era,630,39.5,-0.5,-330,300
1M scale point location,unknown,precise,representative,Landform,Morocco,166,72,Europe,Classical Era,630,38.447444,-2.04839,-330,300
1M scale point location,unknown,precise,representative,Landform,Morocco,166,72,Europe,Classical Era,970,37.671353,-1.698809,-330,640
