,bbox,creators,description,featureType,geometry,id,locationPrecision,locationType,maxDate,minDate,reprLat,reprLatLong,reprLong,tags,timePeriods,timePeriodsKeys,timePeriodsRange,title,featureTypeRef,connectsWith,geoContext,hasConnectionsWith,DeltaAge,featureTypeRef1
"Becker, J.","-3.689824, 36.762144, -3.689824, 36.762144",jbecker,Location based on OpenStreetMap,"aqueduct,","{""type"": ""Point"", ""coordinates"": [-3.689824, 36.762144]}",osm-location-of-aqueduct-bridge,precise,representative,300,-30,36.762144,"36.762144,-3.689824",-3.689824,,R,roman,"-30.0,300.0",OSM Location of aqueduct bridge,aqueduct,,"3 miles S Villareal, over R. Sec",,330,"aqueduct,"
"Becker, J.","58.093319, 23.8573127, 58.093319, 23.8573127",jbecker,Location based on OpenStreetMap,"archipelago,","{""type"": ""Point"", ""coordinates"": [58.093319, 23.8573127]}",location-of-kalaiou-nesoi,precise,representative,2100,1700,23.8573127,"23.8573127,58.093319",58.093319,,M,modern,"1700.0,2100.0",location of Kalaiou Nesoi,archipelago,,IRN,,400,"archipelago,"
"Becker, J.","53.2308004, 29.195305, 53.2314003, 29.1958467",jbecker,Representative location based on OpenStreetMap.,architecturalcomplex,"{""type"": ""Polygon"", ""coordinates"": [[[53.2311426, 29.195305], [53.2308004, 29.1954975], [53.231058, 29.1958467], [53.2314003, 29.1956543], [53.2311426, 29.195305]]]}",osm-location-of-sasan-palace,precise,representative,550,250,29.19557587,"29.1955758709,53.2311003424",53.23110034,,L,late-antiquity-in-central-asia,"250.0,550.0",OSM location of Sasan Palace,architecturalcomplex,638776,,,300,"architecturalcomplex,"
"Letourneau, D., D. Chau, H. Carline, C. Pham, J. Becker, A. Rabinowitz","25.81099, 35.081929, 25.81099, 35.081929","David Letourneau, dchau, Hunter Carline, Courtney Pham","Location of the center of the northwest room of the West House at the Vasiliki archaeological site, determined by matching Google satellite imagery with published plans.","architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [25.81099, 35.081929]}",imagery-location-for-west-house,precise,representative,-2000,-3100,35.081929,"35.081929,25.81099",25.81099,,E,early-minoan,"-3100.0,-2000.0",Imagery location for West House,architecturalcomplex,491686,"PehÄevo, fortified settlement and mine MAC",,1100,"architecturalcomplex,"
"Becker, J.","-6.1009805, 40.166577, -6.1009805, 40.166577",jbecker,Point location based on an OpenStreetMap node,"arch,","{""type"": ""Point"", ""coordinates"": [-6.1009805, 40.166577]}",location-of-roman-arch,precise,representative,300,-30,40.166577,"40.166577,-6.1009805",-6.1009805,,R,roman,"-30.0,300.0",OSM location of Roman arch,arch,,,,330,"arch,"
"Rosenheim, J.","12.7777776, 41.9407619, 12.7789359, 41.9416684",jrosenheim,"Polygon representing the location of the Piazza d'Oro at Hadrian's Villa, derived from an OpenStreetMap way.",architecturalcomplex,"{""type"": ""Polygon"", ""coordinates"": [[[12.7784154, 41.9407619], [12.7783054, 41.9408626], [12.7777776, 41.9413581], [12.777799, 41.941371], [12.7778406, 41.941396], [12.7783207, 41.9416684], [12.7788324, 41.9413612], [12.7789254, 41.9410879], [12.778931, 41.941071], [12.7789359, 41.9410533], [12.7787635, 41.9409056], [12.7787341, 41.940882], [12.7784154, 41.9407619]]]}",piazza-doro,precise,representative,300,-30,41.94121906,"41.9412190637,12.7783928453",12.77839285,GardRomEmp,R,roman,"-30.0,300.0",OSM location of Piazza d'Oro at Hadrian's Villa,architecturalcomplex,,,,330,"architecturalcomplex,"
"Becker, J.","4.72161, 43.704907, 4.72161, 43.704907",jbecker,Location based on OpenStreetMap,"aqueduct,","{""type"": ""Point"", ""coordinates"": [4.72161, 43.704907]}",location-of-barbegal-aqueduct,precise,representative,300,-30,43.704907,"43.704907,4.72161",4.72161,,R,roman,"-30.0,300.0",location of Barbegal aqueduct,aqueduct,,Anse des Laurons area,,330,"aqueduct,"
"Becker, J.","5.0712413, 44.2422836, 5.0712413, 44.2422836",jbecker,An architectural complex including shops and a public bath. Location based on OpenStreetMap.,"architecturalcomplex,bath,","{""type"": ""Point"", ""coordinates"": [5.0712413, 44.2422836]}",location-of-archaeological-area-of-villasse,precise,representative,300,-30,44.2422836,"44.2422836,5.0712413",5.0712413,,R,roman,"-30.0,300.0",location of archaeological area of Villasse,"architecturalcomplex,bath",,between CavaliÃ¨re and Le Lavandou,,330,"architecturalcomplex,bath,"
"Becker, J.","4.5282492, 43.9514052, 4.5287607, 43.9532055",jbecker,Representative location based on OpenStreetMap,aqueduct,"{""type"": ""Polygon"", ""coordinates"": [[[4.5287227, 43.9514052], [4.5282492, 43.9531998], [4.5282771, 43.9532055], [4.5283955, 43.9528686], [4.5287607, 43.95141], [4.5287227, 43.9514052]]]}",osm-location-of-aqueduc-de-na-r-mes-en-ruine,precise,representative,300,-30,43.95230678,"43.9523067788,4.52851636698",4.528516367,,R,roman,"-30.0,300.0",OSM location of Aqueduc de NÃ®mes (en ruine),aqueduct,,Boulouris,,330,"aqueduct,"
"Gillies, S.","4.534049, 43.9464779, 4.5365381, 43.9480324",sgillies,About 275 meters long,"aqueduct,bridge,","{""type"": ""LineString"", ""coordinates"": [[4.534049, 43.9480324], [4.5365381, 43.9464779]]}",present-day-span-of-bridge,precise,representative,640,-30,43.94725515,"43.94725515,4.53529355",4.53529355,,RL,"roman,late-antique","-30.0,640.0",Present day span of bridge,"aqueduct,bridge",,CollobriÃ¨res,,670,"aqueduct,bridge,"
