authors,bbox,creators,description,featureType,geometry,id,locationPrecision,locationType,maxDate,minDate,reprLat,reprLatLong,reprLong,tags,timePeriods,timePeriodsKeys,timePeriodsRange,title,featureTypeRef,connectsWith,featureTypes,geoContext,hasConnectionsWith,DeltaAge,featureTypeRef1
"Becker, J.","13.4119837, 42.082885, 13.4119837, 42.082885",jbecker,The post-Roman settlement at Alba Fucens. Location based on OpenStreetMap.,"settlement,","{""type"": ""Point"", ""coordinates"": [13.4119837, 42.082885]}",location-of-borgo-medioevale,precise,representative,1453,640,42.082885,"42.082885,13.4119837",13.4119837,extant remains,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Borgo Medievale,settlement,413005,settlement,,,813,"settlement,"
"Becker, J.","0.1354228, 40.0787678, 0.1354228, 40.0787678",jbecker,Location based on OpenStreetMap,settlement,"{""type"": ""Point"", ""coordinates"": [0.1354228, 40.0787678]}",osm-location,precise,representative,300,-330,40.0787678,"40.0787678,0.1354228",0.1354228,,H,hellenistic-roman-early-empire,"-330.0,300.0",OSM location,settlement,,settlement,Oropesa,,630,"settlement,"
"Luc PIROUX, J., S. Gillies","-0.6953, 38.2396, -0.6953, 38.2396",jlpiroux,,"settlement,","{""type"": ""Point"", ""coordinates"": [-0.6953, 38.2396]}",center-point-of-visible-remains-ilici-1,precise,representative,640,-750,38.2396,"38.2396,-0.6953",-0.6953,,ACHRL,"archaic,classical,hellenistic-republican,roman,late-antique","-750.0,640.0",Center point of visible remains - Ilici,settlement,"803,793,619,269,561",settlement,Alcudia de Elche,,1390,"settlement,"
"Vanderbilt, S.","-4.3084564, 37.5966266, -4.3084564, 37.5966266",sarcanon,Representative location based on OpenStreetMap.,settlement,"{""type"": ""Point"", ""coordinates"": [-4.3084564, 37.5966266]}",osm-location-of-cerro-de-minguillar,precise,representative,300,-30,37.5966266,"37.5966266,-4.3084564",-4.3084564,,R,roman,"-30.0,300.0",OSM location of Cerro de Minguillar,settlement,,settlement,"Cerro de Minguillar, SE Baena",,330,"settlement,"
"Ã…hlfeldt, J.","-4.061071, 38.033538, -4.061071, 38.033538",jahlfeldt,"Representative point location, village precision",settlement,"{""type"": ""Point"", ""coordinates"": [-4.061071, 38.033538]}",dare-location,precise,representative,640,-30,38.033538,"38.033538,-4.061071",-4.061071,,RL,"roman,late-antique","-30.0,640.0",DARE Location,settlement,,settlement,"Jumilla, Coimbra del Barranco Ancho",559027219,670,"settlement,"
"Becker, J.","-1.3275218, 38.4353536, -1.3275218, 38.4353536",jbecker,Representative location based on OpenStreetMap.,settlement,"{""type"": ""Point"", ""coordinates"": [-1.3275218, 38.4353536]}",osm-location-of-coimbra,precise,representative,640,-330,38.4353536,"38.4353536,-1.3275218",-1.3275218,,HRL,"hellenistic-republican,roman,late-antique","-330.0,640.0",OSM location of Coimbra,settlement,,settlement,Alhambra?,,970,"settlement,"
"MartÃ­nez JimÃ©nez, J., J. Becker","-0.4404735, 38.3636205, -0.4372256, 38.3658637",jmartinez,Representative location based on OpenStreetMap.,settlement,"{""type"": ""Polygon"", ""coordinates"": [[[-0.4388846, 38.3636205], [-0.4393852, 38.3637426], [-0.4404735, 38.3641036], [-0.4399899, 38.3649384], [-0.4394818, 38.3653153], [-0.4386488, 38.3658193], [-0.4383746, 38.3658637], [-0.4379784, 38.365669], [-0.4372739, 38.364446], [-0.4372256, 38.3642725], [-0.438041, 38.3638277], [-0.4388484, 38.3636205], [-0.4388846, 38.3636205]]]}",osm-location-of-ciudad-ibero-romana-de-lucentum,precise,representative,300,-330,38.36461817,"38.3646181732,-0.438803462827",-0.438803463,,HR,"hellenistic-republican,roman","-330.0,300.0",OSM location of Ciudad Ibero Romana de Lucentum,settlement,,quarry,Macael,,630,"settlement,"
"Becker, J.","-3.7256823, 38.7606439, -3.7256823, 38.7606439",jbecker,Representative location based on OpenStreetMap,"settlement,","{""type"": ""Point"", ""coordinates"": [-3.7256823, 38.7606439]}",osm-location,precise,representative,640,-330,38.7606439,"38.7606439,-3.7256823",-3.7256823,,HL,"hellenistic-roman-early-empire,late-antique","-330.0,640.0","OSM location of Zuqueca, GranÃ¡tula de Calatrava",settlement,,settlement,"Cerro Alcal, 6 miles NE Mancha Real",,970,"settlement,"
"Becker, J.","3.1195675, 39.8464303, 3.1267381, 39.8513501",jbecker,Representative location based on OpenStreetMap.,settlement,"{""type"": ""Polygon"", ""coordinates"": [[[3.1240735, 39.8464303], [3.1221553, 39.84759], [3.1219915, 39.8477241], [3.1195675, 39.8510343], [3.1196246, 39.8511768], [3.1199906, 39.8513501], [3.1208406, 39.8509548], [3.1214456, 39.8506397], [3.1266609, 39.8478983], [3.1266816, 39.8478805], [3.1266934, 39.8478646], [3.1267271, 39.8471845], [3.1267381, 39.8469176], [3.1240735, 39.8464303]]]}",osm-location-of-ciutat-romana-de-pollantia,precise,representative,640,-30,39.84859314,"39.8485931402,3.12305890133",3.123058901,,RL,"roman,late-antique","-30.0,640.0",OSM location of ciutat romana de PollÃ¨ntia,settlement,,settlement,AlmerÃ­a?,,670,"settlement,"
"Ã…hlfeldt, J.","-0.275887, 39.676219, -0.275887, 39.676219",jahlfeldt,"Representative point location, site precision",settlement,"{""type"": ""Point"", ""coordinates"": [-0.275887, 39.676219]}",dare-location,precise,representative,640,-550,39.676219,"39.676219,-0.275887",-0.275887,,CHRL,"classical,hellenistic-republican,roman,late-antique","-550.0,640.0",DARE Location,settlement,,settlement,El Salobral,,1190,"settlement,"
