authors,bbox,creators,description,featureType,geometry,id,locationPrecision,locationType,maxDate,minDate,reprLat,reprLatLong,reprLong,tags,timePeriods,timePeriodsKeys,timePeriodsRange,title,featureTypeRef,connectsWith,featureTypes,geoContext,hasConnectionsWith,DeltaAge,featureTypeRef1
"Becker, J.","-3.689824, 36.762144, -3.689824, 36.762144",jbecker,Location based on OpenStreetMap,"aqueduct,","{""type"": ""Point"", ""coordinates"": [-3.689824, 36.762144]}",osm-location-of-aqueduct-bridge,precise,representative,300,-30,36.762144,"36.762144,-3.689824",-3.689824,,R,roman,"-30.0,300.0",OSM Location of aqueduct bridge,aqueduct,,aqueduct,"3 miles S Villareal, over R. Sec",,330,"featureTypeRef,"
"Becker, J.","53.2308004, 29.195305, 53.2314003, 29.1958467",jbecker,Representative location based on OpenStreetMap.,architecturalcomplex,"{""type"": ""Polygon"", ""coordinates"": [[[53.2311426, 29.195305], [53.2308004, 29.1954975], [53.231058, 29.1958467], [53.2314003, 29.1956543], [53.2311426, 29.195305]]]}",osm-location-of-sasan-palace,precise,representative,550,250,29.19557587,"29.1955758709,53.2311003424",53.23110034,,L,late-antiquity-in-central-asia,"250.0,550.0",OSM location of Sasan Palace,architecturalcomplex,638776,bridge,,,300,"aqueduct,"
"Letourneau, D., D. Chau, H. Carline, C. Pham, J. Becker, A. Rabinowitz","25.81099, 35.081929, 25.81099, 35.081929","David Letourneau, dchau, Hunter Carline, Courtney Pham","Location of the center of the northwest room of the West House at the Vasiliki archaeological site, determined by matching Google satellite imagery with published plans.","architecturalcomplex,","{""type"": ""Point"", ""coordinates"": [25.81099, 35.081929]}",imagery-location-for-west-house,precise,representative,-2000,-3100,35.081929,"35.081929,25.81099",25.81099,,E,early-minoan,"-3100.0,-2000.0",Imagery location for West House,architecturalcomplex,491686,mine-2,"PehÄevo, fortified settlement and mine MAC",,1100,"architecturalcomplex,"
"Becker, J.","-6.1009805, 40.166577, -6.1009805, 40.166577",jbecker,Point location based on an OpenStreetMap node,"arch,","{""type"": ""Point"", ""coordinates"": [-6.1009805, 40.166577]}",location-of-roman-arch,precise,representative,300,-30,40.166577,"40.166577,-6.1009805",-6.1009805,,R,roman,"-30.0,300.0",OSM location of Roman arch,arch,,settlement,,,330,"architecturalcomplex,"
"Rosenheim, J.","12.7777776, 41.9407619, 12.7789359, 41.9416684",jrosenheim,"Polygon representing the location of the Piazza d'Oro at Hadrian's Villa, derived from an OpenStreetMap way.",architecturalcomplex,"{""type"": ""Polygon"", ""coordinates"": [[[12.7784154, 41.9407619], [12.7783054, 41.9408626], [12.7777776, 41.9413581], [12.777799, 41.941371], [12.7778406, 41.941396], [12.7783207, 41.9416684], [12.7788324, 41.9413612], [12.7789254, 41.9410879], [12.778931, 41.941071], [12.7789359, 41.9410533], [12.7787635, 41.9409056], [12.7787341, 41.940882], [12.7784154, 41.9407619]]]}",piazza-doro,precise,representative,300,-30,41.94121906,"41.9412190637,12.7783928453",12.77839285,GardRomEmp,R,roman,"-30.0,300.0",OSM location of Piazza d'Oro at Hadrian's Villa,architecturalcomplex,,hill,,,330,"arch,"
"Becker, J.","4.72161, 43.704907, 4.72161, 43.704907",jbecker,Location based on OpenStreetMap,"aqueduct,","{""type"": ""Point"", ""coordinates"": [4.72161, 43.704907]}",location-of-barbegal-aqueduct,precise,representative,300,-30,43.704907,"43.704907,4.72161",4.72161,,R,roman,"-30.0,300.0",location of Barbegal aqueduct,aqueduct,,station,Anse des Laurons area,,330,"architecturalcomplex,"
"Becker, J.","4.5282492, 43.9514052, 4.5287607, 43.9532055",jbecker,Representative location based on OpenStreetMap,aqueduct,"{""type"": ""Polygon"", ""coordinates"": [[[4.5287227, 43.9514052], [4.5282492, 43.9531998], [4.5282771, 43.9532055], [4.5283955, 43.9528686], [4.5287607, 43.95141], [4.5287227, 43.9514052]]]}",osm-location-of-aqueduc-de-na-r-mes-en-ruine,precise,representative,300,-30,43.95230678,"43.9523067788,4.52851636698",4.528516367,,R,roman,"-30.0,300.0",OSM location of Aqueduc de NÃ®mes (en ruine),aqueduct,,quarry,Boulouris,,330,"aqueduct,"
"Gillies, S.","4.534049, 43.9464779, 4.5365381, 43.9480324",sgillies,About 275 meters long,"aqueduct,bridge,","{""type"": ""LineString"", ""coordinates"": [[4.534049, 43.9480324], [4.5365381, 43.9464779]]}",present-day-span-of-bridge,precise,representative,640,-30,43.94725515,"43.94725515,4.53529355",4.53529355,,RL,"roman,late-antique","-30.0,640.0",Present day span of bridge,"aqueduct,bridge",,mine-2,CollobriÃ¨res,,670,"aqueduct,"
"Becker, J.","4.534036, 43.9464594, 4.5365412, 43.9480456",jbecker,Representative location based on OpenStreetMap.,aqueduct,"{""type"": ""Polygon"", ""coordinates"": [[[4.5365157, 43.9464594], [4.534036, 43.9480247], [4.5340614, 43.9480456], [4.5365412, 43.9464803], [4.5365157, 43.9464594]]]}",osm-location-of-pont-du-gard,precise,representative,640,-30,43.94725249,"43.9472524933,4.53528859344",4.535288593,,RL,"roman,late-antique","-30.0,640.0",OSM location of Pont du Gard,aqueduct,,"settlement, port",FrÃ©jus,"520,858,710,246,534,000,000,000,000",670,"aqueduct,bridge,"
"Becker, J.","13.1757095, 32.8998097, 13.1758558, 32.8999468",jbecker,Location based on OpenStreetMap,"arch,","{""type"": ""Polygon"", ""coordinates"": [[[13.1757634, 32.8998097], [13.1757095, 32.8999054], [13.1758004, 32.8999468], [13.1758558, 32.8998511], [13.1757634, 32.8998097]]]}",osm-location-of-marcus-aurelius-arch,precise,representative,300,-30,32.89987813,"32.8998781314,13.1757824445",13.17578244,,R,roman,"-30.0,300.0",OSM location of Marcus Aurelius Arch,arch,,river,branch of R. Euphrates from Cutha to Nippur IRQ,,330,"aqueduct,"
"Becker, J.","15.0117076, 41.0539492, 15.0117076, 41.0539492",jbecker,Representative location based on OpenStreetMap.,"amphitheatre,","{""type"": ""Point"", ""coordinates"": [15.0117076, 41.0539492]}",osm-location-of-roman-amphitheater,precise,representative,300,-30,41.0539492,"41.0539492,15.0117076",15.0117076,,R,roman,"-30.0,300.0",OSM location of Roman amphitheater,amphitheatre,,unlocated,Barrington Atlas grid 35 Unlocated,,330,"arch,"
"Willoughby, M., J. Charlton, J. Becker, A. Rabinowitz","21.85083, 32.824591, 21.85083, 32.824591","mwilloughby, Justin Charlton",Representative imagery location of the Theater of Cyrene. Verified in Google Earth 2016.,"amphitheatre,theatre,","{""type"": ""Point"", ""coordinates"": [21.85083, 32.824591]}",cyrene-main-theatre,precise,representative,640,-750,32.824591,"32.824591,21.85083",21.85083,theater,ACHR,"archaic,classical,hellenistic-republican,roman-early-empire-late-antique","-750.0,640.0",Imagery location of Theater of Cyrene,"amphitheatre,theatre",,unlocated,TUN,,1390,"amphitheatre,"
