authors,bbox,creators,description,featureType,geometry,id,locationPrecision,locationType,maxDate,minDate,reprLat,reprLatLong,reprLong,tags,timePeriods,timePeriodsKeys,timePeriodsRange,title,featureTypeRef,connectsWith,featureTypes,geoContext,hasConnectionsWith,DeltaAge,featureTypeRef1
"Becker, J.","-4.1307, 36.7576667, -4.1103798, 36.794311",jbecker,Location based on OpenStreetMap,river,"{""type"": ""Polygon"", ""coordinates"": [[[-4.1103798, 36.7576667], [-4.1119457, 36.7584493], [-4.1127065, 36.7588948], [-4.1132523, 36.7593376], [-4.1148659, 36.7608954], [-4.115397, 36.761524], [-4.115585, 36.761833], [-4.1307, 36.794311], [-4.1180185, 36.7810737], [-4.1173806, 36.780336], [-4.1168143, 36.7794808], [-4.116482, 36.778782], [-4.1103798, 36.7576667]]]}",osm-location-of-rao-va-c-lez,precise,representative,2099,2000,36.77621371,"36.7762137108,-4.11921265059",-4.119212651,,T,twenty-first-ce,"2000.0,2099.0",OSM location of RÃ­o VÃ©lez,river,572631626,"settlement, settlement-modern","MahÃ³n, on Menorca Is.",,99,"river,"
"Becker, J.","-2.1338651, 40.1254751, -2.1338651, 40.1254751",jbecker,Location based on OpenStreetMap,"river,","{""type"": ""Point"", ""coordinates"": [-2.1338651, 40.1254751]}",location-of-Sucro-fl,precise,representative,2100,1700,40.1254751,"40.1254751,-2.1338651",-2.1338651,,M,modern,"1700.0,2100.0",location of Sucro fl.,river,,river,Segura,,400,"river,"
"Becker, J.","-1.004818, 38.0497059, -1.004818, 38.0497059",jbecker,Location based on OpenStreetMap,"river,","{""type"": ""Point"", ""coordinates"": [-1.004818, 38.0497059]}",location-of-Tader-fl,precise,representative,2100,1700,38.0497059,"38.0497059,-1.004818",-1.004818,,M,modern,"1700.0,2100.0",location of Tader fl.,river,,villa,"Las Tamujas, Malpica de Tajo",,400,"river,"
"Becker, J.","-1.7309516, 40.4051232, -1.7309516, 40.4051232",jbecker,Location based on OpenStreetMap,"river,","{""type"": ""Point"", ""coordinates"": [-1.7309516, 40.4051232]}",location-of-Turia-fl,precise,representative,2100,1700,40.4051232,"40.4051232,-1.7309516",-1.7309516,,M,modern,"1700.0,2100.0",location of Turia fl.,river,,river,"Palancia (of Sagunto) (contra Schulten 1959 II, 37)",,400,"river,"
"Becker, J.","-0.376766, 39.6778721, -0.2382067, 39.7879304",jbecker,Location based on OpenStreetMap,river,"{""type"": ""Polygon"", ""coordinates"": [[[-0.2980609, 39.6778721], [-0.3101564, 39.6781202], [-0.3106447, 39.6781756], [-0.3110566, 39.6782409], [-0.3114955, 39.6783333], [-0.3191295, 39.6803935], [-0.3192538, 39.6804521], [-0.3201246, 39.6808934], [-0.3206052, 39.6811648], [-0.3208227, 39.6813499], [-0.3436143, 39.7032174], [-0.3450741, 39.7056829], [-0.3470115, 39.7091837], [-0.376766, 39.7879304], [-0.3670049, 39.7834052], [-0.3638193, 39.7812517], [-0.2382067, 39.6787349], [-0.2980609, 39.6778721]]]}",osm-location-of-rao-palancia,precise,representative,2099,2000,39.71647998,"39.7164799758,-0.321384314632",-0.321384315,,T,twenty-first-ce,"2000.0,2099.0",OSM location of RÃ­o Palancia,river,,settlement,Arjona,,99,"river,"
"Becker, J.","-6.033041, 35.1147428, -6.033041, 35.1147428",jbecker,Location based on OpenStreetMap,"river,","{""type"": ""Point"", ""coordinates"": [-6.033041, 35.1147428]}",location-of-Lixus-fl,precise,representative,2100,1700,35.1147428,"35.1147428,-6.033041",-6.033041,,M,modern,"1700.0,2100.0",location of Lixus fl.,river,,villa,"Mechra Sfa, Bab Tisra",,400,"river,"
"Becker, J., T. Elliott","-6.6484666, 33.7262476, -4.5201326, 34.6176952","jbecker, thomase",Location based on OpenStreetMap,river,"{""type"": ""Polygon"", ""coordinates"": [[[-4.5234149, 33.7262476], [-6.6484666, 34.271297], [-6.6209419, 34.3015933], [-6.6186054, 34.3040986], [-6.4246635, 34.4857274], [-6.3631702, 34.5365159], [-6.3627112, 34.536858], [-6.1336361, 34.6175261], [-6.131, 34.6176952], [-5.9204654, 34.5760063], [-4.9591402, 34.2906935], [-4.8920206, 34.2572161], [-4.8880724, 34.2542366], [-4.6277068, 33.9080747], [-4.5201326, 33.7273004], [-4.5226683, 33.7264223], [-4.5234149, 33.7262476]]]}",osm-location-of-modern-oued-sebou,precise,representative,,,34.31235506,"34.312355056,-5.57780720523",-5.577807205,,,,,OSM Location of modern Oued Sebou,river,275673,settlement,Ksar Pharaoun,,0,"river,"
"Becker, J.","-5.4101103, 35.5623508, -5.4101103, 35.5623508",jbecker,Location based on OpenStreetMap,"river,","{""type"": ""Point"", ""coordinates"": [-5.4101103, 35.5623508]}",location-of-Tamuda-fl,precise,representative,2100,1700,35.5623508,"35.5623508,-5.4101103",-5.4101103,,M,modern,"1700.0,2100.0",location of Oud Martil (river),river,,road,Ad Mercuri Â® Oppidum Novum,,400,"river,"
"Becker, J., T. Elliott","-1.452513, 35.0737371, -1.1373431, 35.1124884","jbecker, thomase",Location based on OpenStreetMap,river,"{""type"": ""Polygon"", ""coordinates"": [[[-1.3939029, 35.0737371], [-1.4232588, 35.0758075], [-1.4240522, 35.0759154], [-1.4300223, 35.0802382], [-1.4421896, 35.0935973], [-1.4516107, 35.1047244], [-1.4522556, 35.1066028], [-1.452513, 35.107779], [-1.4523193, 35.109008], [-1.451886, 35.1096503], [-1.3162325, 35.1124884], [-1.3119625, 35.1122777], [-1.2549287, 35.1078211], [-1.1373431, 35.0906467], [-1.1377722, 35.0898742], [-1.1383945, 35.0892772], [-1.1408355, 35.0875123], [-1.1435178, 35.0860199], [-1.2206581, 35.0749045], [-1.3939029, 35.0737371]]]}",osm-location-of-the-modern-oued-isser,precise,representative,2100,1700,35.09025405,"35.0902540544,-1.30142800668",-1.301428007,,M,modern,"1700.0,2100.0",OSM Location of the modern Oued Isser,river,,fort,Koudiat Sidi ben Beha,,400,"river,"
"Becker, J., T. Elliott","-2.345498, 35.1142583, -2.345498, 35.1142583",jbecker,Representative point derived from an OpenStreetMap way.,"river,","{""type"": ""Point"", ""coordinates"": [-2.345498, 35.1142583]}",osm-location-mouth,precise,representative,2100,1700,35.1142583,"35.1142583,-2.345498",-2.345498,,M,modern,"1700.0,2100.0",OSM location: river mouth,river,,temple-2,Ste-Barbe-du-TlÃ©lat,,400,"river,"
