authors,bbox,created,creators,currentVersion,description,featureType,geometry,id,locationPrecision,locationType,maxDate,minDate,modified,path,pid,reprLat,reprLatLong,reprLong,timePeriods,timePeriodsKeys,timePeriodsRange,title,uid,TypesOfFeature,continent,country,hasConnectionsWith,connectsWith,DeltaAge,noOfFeaturesBuiltByHuman,natureFeatures
"Becker, J.","13.4119837, 42.082885, 13.4119837, 42.082885",2013-07-15T17:16:48Z,jbecker,4,The post-Roman settlement at Alba Fucens. Location based on OpenStreetMap.,"settlement,","{""type"": ""Point"", ""coordinates"": [13.4119837, 42.082885]}",location-of-borgo-medioevale,precise,"representative,",1453,640,2016-11-04T23:33:08Z,/places/48210385/location-of-borgo-medioevale,48210385,42.082885,"42.082885,13.4119837",13.4119837,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Borgo Medievale,3e81cf966a1407978021141372c3f921,Landform,Europe,Spain,"482,947,334,482,947,000,000,000,000,000",266001,400,1523,535
"Becker, J.","11.6285463, 42.4193742, 11.6285463, 42.4193742",2013-07-11T15:48:53Z,jbecker,3,"A major urban sanctuary at Vulci with a long period of use, stretching from the archaic period into the Roman period. Location based on OpenStreetMap.","temple-2,","{""type"": ""Point"", ""coordinates"": [11.6285463, 42.4193742]}",location-of-tempio-grande,precise,"representative,",300,-750,2016-12-05T11:47:11Z,/places/48210386/location-of-tempio-grande,48210386,42.4193742,"42.4193742,11.6285463",11.6285463,ACHR,"archaic,classical,hellenistic-republican,roman","-750.0,300.0",OSM location of Tempio Grande,b2d62017b95615f275a79666f79a6631,Landform,Unlocated,Unlocated,,,400,,
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-3.606772, 39.460299, -3.606772, 39.460299",2011-03-10T00:05:52Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-3.606772, 39.460299]}",darmc-location-20192,precise,representative,640,-330,2011-03-10T00:05:53Z,/places/265876/darmc-location-20192,265876,39.460299,"39.460299,-3.606772",-3.606772,HRL,"hellenistic-republican,roman,late-antique","-330.0,640.0",DARMC location 20192,62e35ae520c733fd1b3d538cfc93024d,Landform,Europe,Spain,,,400,1523,535
"Spann, P., R. Warner, R. Talbert, T. Elliott, S. Gillies","-2.0, 38.0, -1.0, 39.0",2010-09-24T19:02:24Z,P.O. Spann,0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[-2.0, 38.0], [-2.0, 39.0], [-1.0, 39.0], [-1.0, 38.0], [-2.0, 38.0]]]}",batlas-location,rough,representative,300,-330,2012-02-14T22:50:56Z,/places/265877/batlas-location,265877,38.5,"38.5,-1.5",-1.5,HR,"hellenistic-republican,roman","-330.0,300.0",Barrington Atlas location,a8613a94e17a506565010269dc6f1872,Water Source,Unlocated,Unlocated,,,400,,
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-2.403309, 37.241792, -2.403309, 37.241792",2011-03-09T23:39:28Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-2.403309, 37.241792]}",darmc-location-19495,precise,representative,300,-330,2012-02-14T22:50:57Z,/places/265878/darmc-location-19495,265878,37.241792,"37.241792,-2.403309",-2.403309,HR,"hellenistic-republican,roman","-330.0,300.0",DARMC location 19495,802d8a7041359a15a43fb861d201d5ce,Water Source,Unlocated,Unlocated,,,400,,
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","0.107511, 38.842795, 0.107511, 38.842795",2011-03-09T18:37:55Z,P.O. Spann,1,1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,"{""type"": ""Point"", ""coordinates"": [0.107511, 38.842795]}",darmc-location-963,precise,representative,640,-550,2018-06-08T11:25:03Z,/places/265880/darmc-location-963,265880,38.842795,"38.842795,0.107511",0.107511,CHRL,"classical,hellenistic-republican,roman,late-antique","-550.0,640.0",DARMC location 963,a7441b331ab8748e38d6b6897cc1919f,Water Source,Europe,Spain,,,400,1523,535
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","1.432146, 38.908393, 1.432146, 38.908393",2011-03-10T00:06:51Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [1.432146, 38.908393]}",darmc-location-20235,precise,representative,640,-750,2012-02-14T22:51:00Z,/places/265883/darmc-location-20235,265883,38.908393,"38.908393,1.432146",1.432146,ACHRL,"archaic,classical,hellenistic-republican,roman,late-antique","-750.0,640.0",DARMC location 20235,88ec3260cef44030fd86a189047ccd58,Landform,Europe,France,,,2650,1523,535
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-3.362253, 38.640276, -3.362253, 38.640276",2011-03-10T00:07:00Z,P.O. Spann,1,1M scale point location,unknown,"{""type"": ""Point"", ""coordinates"": [-3.362253, 38.640276]}",darmc-location-20237,precise,representative,300,-30,2012-02-14T22:51:02Z,/places/265886/darmc-location-20237,265886,38.640276,"38.640276,-3.362253",-3.362253,R,roman,"-30.0,300.0",DARMC location 20237,1fe7025f638f1246ee5322b885c145e1,Landform,Unlocated,Unlocated,,,400,,
"Spann, P., D. R. Talbert, T. Elliott, S. Gillies","-0.594758, 39.624587, -0.594758, 39.624587",2011-03-10T00:07:02Z,P.O. Spann,1,1:1 million scale representative point location digitized from the Barrington Atlas of the Greek and Roman World by the Digital Atlas of Roman and Medieval Civilizations project at Harvard University.,unknown,"{""type"": ""Point"", ""coordinates"": [-0.594758, 39.624587]}",darmc-location-20238,precise,representative,300,-550,2018-06-08T00:03:24Z,/places/265887/darmc-location-20238,265887,39.624587,"39.624587,-0.594758",-0.594758,CHR,"classical,hellenistic-republican,roman","-550.0,300.0",DARMC location 20238,c1cb0c0111a7492ab1ad174b38a81d51,Landform,Europe,Germany,,,400,1523,535
"Spann, P., R. Warner, R. Talbert, T. Elliott, S. Gillies","-1.0, 39.0, 0.0, 40.0",2010-09-24T19:02:40Z,P.O. Spann,0,,unknown,"{""type"": ""Polygon"", ""coordinates"": [[[-1.0, 39.0], [-1.0, 40.0], [0.0, 40.0], [0.0, 39.0], [-1.0, 39.0]]]}",batlas-location,rough,representative,300,-330,2012-02-14T22:51:04Z,/places/265888/batlas-location,265888,39.5,"39.5,-0.5",-0.5,HR,"hellenistic-republican,roman","-330.0,300.0",Barrington Atlas location,d0288f9551b654913ed107b740419cd1,Water Source,Africa,Algeria,,,400,166,72
